#Parameter	Value			Fit	Min		Max		Error	

NiO.setD	33.2855496934		True	1.5000e+01	1.0000e+02	-	
NiO.setSigma	14.1803374368		True	1.0000e+00	2.3000e+01	-	
NiO.setMagn	0.121678370636		True	0.0000e+00	1.2500e-01	-
NiO.setDens	0.0307352307637		True	3.0000e-02	6.7500e-02	-	


Ni.setD		1226.10798604		True	9.0975e+02	1.5162e+03	-	
Ni.setSigma	1.20452767393		True	1.0000e+00	5.0000e+01	-	
Ni.setMagn	0.568144492379		True	4.0000e-01	1.0000e+00	-	


NiSi.setD	25.5000071784		True	2.5500e+01	1.0000e+02	-	
NiSi.setSigma	15.0000000000		True	1.5000e+00	1.5000e+01	-	
	
	
SiO2.setD	23.7231353381		True	1.0000e+01	2.5000e+01	-	
SiO2.setSigma	2.10524092605		True	1.0000e+00	6.2500e+00	-	
SiO2.setDens	0.030635436813		True	2.0000e-02	5.0000e-02	-	
